project_project_id,cases_case_id,cases_submitter_id,samples_sample_id,samples_submitter_id,portions_portion_id,portions_submitter_id,analytes_analyte_id,analytes_submitter_id,aliquots_aliquot_id,aliquots_aliquot_quantity,aliquots_aliquot_volume,aliquots_amount,aliquots_analyte_type,aliquots_analyte_type_id,aliquots_concentration,aliquots_no_matched_normal_low_pass_wgs,aliquots_no_matched_normal_targeted_sequencing,aliquots_no_matched_normal_wgs,aliquots_no_matched_normal_wxs,aliquots_selected_normal_low_pass_wgs,aliquots_selected_normal_targeted_sequencing,aliquots_selected_normal_wgs,aliquots_selected_normal_wxs,aliquots_source_center,aliquots_state,aliquots_submitter_id
TCGA-SKCM,7a918706-c697-4cef-9661-346c5a612ff8,TCGA-ER-A19M,a1d68d34-9499-4f7a-af51-a78ad2d058ce,TCGA-ER-A19M-10A,6533ce40-aa6c-4218-8b8f-6e07473da585,TCGA-ER-A19M-10A-01,65abe119-15a8-41b1-8b17-6d141e034464,TCGA-ER-A19M-10A-01D,81f4f97b-6242-4057-be26-1385e2fef965,1.07,6.7,,,,0.16,,,,,,,,,23,released,TCGA-ER-A19M-10A-01D-A238-01
TCGA-SKCM,a5930bc2-d0e4-454f-b60d-5dd1148d4669,TCGA-IH-A3EA,d60aa8fb-a33c-4c5a-ab81-a740935585df,TCGA-IH-A3EA-10A,eba08d2c-1ff4-4800-a8e5-6540f42f6f47,TCGA-IH-A3EA-10A-01,a146117d-2241-4ffd-9851-03ea4d812e65,TCGA-IH-A3EA-10A-01W,23d2dd7d-27e0-4c49-aaf5-7e2cd440313b,40.0,80.0,,,,0.5,,,,,,,,,23,released,TCGA-IH-A3EA-10A-01W-A21G-08
TCGA-SKCM,a5930bc2-d0e4-454f-b60d-5dd1148d4669,TCGA-IH-A3EA,d60aa8fb-a33c-4c5a-ab81-a740935585df,TCGA-IH-A3EA-10A,eba08d2c-1ff4-4800-a8e5-6540f42f6f47,TCGA-IH-A3EA-10A-01,f2b96f68-c7ee-49c2-b60b-7b481377a17a,TCGA-IH-A3EA-10A-01D,1aecafcf-82e7-4b72-9172-8945af1b6416,1.07,6.7,,,,0.16,,,,,,,,,23,released,TCGA-IH-A3EA-10A-01D-A20B-01
TCGA-SKCM,a5930bc2-d0e4-454f-b60d-5dd1148d4669,TCGA-IH-A3EA,d60aa8fb-a33c-4c5a-ab81-a740935585df,TCGA-IH-A3EA-10A,eba08d2c-1ff4-4800-a8e5-6540f42f6f47,TCGA-IH-A3EA-10A-01,f2b96f68-c7ee-49c2-b60b-7b481377a17a,TCGA-IH-A3EA-10A-01D,9872d0e1-c9f7-40fc-a0dc-8e62e4e4b4f3,2.24,14.0,,,,0.16,,,,,,,true,,23,released,TCGA-IH-A3EA-10A-01D-A816-36
TCGA-SKCM,a5930bc2-d0e4-454f-b60d-5dd1148d4669,TCGA-IH-A3EA,d60aa8fb-a33c-4c5a-ab81-a740935585df,TCGA-IH-A3EA-10A,eba08d2c-1ff4-4800-a8e5-6540f42f6f47,TCGA-IH-A3EA-10A-01,f2b96f68-c7ee-49c2-b60b-7b481377a17a,TCGA-IH-A3EA-10A-01D,a122f996-7097-4023-8516-c59ba7b2fac9,3.2,40.0,,,,0.08,,,,,,,,,23,released,TCGA-IH-A3EA-10A-01D-A20D-08
TCGA-SKCM,a5930bc2-d0e4-454f-b60d-5dd1148d4669,TCGA-IH-A3EA,f4308178-4987-42a1-b41b-1aa8cc7a78d9,TCGA-IH-A3EA-01A,ba6f8fa2-977a-479e-a7b7-e0530a292ea6,TCGA-IH-A3EA-01A-11,77eec669-6984-4f44-bf9e-f5c7c342d475,TCGA-IH-A3EA-01A-11R,6fc0166f-628f-4ff4-9f50-99ecc4c54337,2.21,13.0,,,,0.17,,,,,,,,,23,released,TCGA-IH-A3EA-01A-11R-A20F-07
TCGA-SKCM,a5930bc2-d0e4-454f-b60d-5dd1148d4669,TCGA-IH-A3EA,f4308178-4987-42a1-b41b-1aa8cc7a78d9,TCGA-IH-A3EA-01A,ba6f8fa2-977a-479e-a7b7-e0530a292ea6,TCGA-IH-A3EA-01A-11,77eec669-6984-4f44-bf9e-f5c7c342d475,TCGA-IH-A3EA-01A-11R,8d7dc28d-fe43-42a5-a2a2-703fc7611b63,3.4,20.0,,,,0.17,,,,,,,,,23,released,TCGA-IH-A3EA-01A-11R-A20E-13
TCGA-SKCM,a5930bc2-d0e4-454f-b60d-5dd1148d4669,TCGA-IH-A3EA,f4308178-4987-42a1-b41b-1aa8cc7a78d9,TCGA-IH-A3EA-01A,ba6f8fa2-977a-479e-a7b7-e0530a292ea6,TCGA-IH-A3EA-01A-11,9f9b786d-1773-497c-bbb9-b6166c8e8bf9,TCGA-IH-A3EA-01A-11D,06bc4bb6-24cd-4bc2-af6c-468c37ec5d48,2.1,14.0,,,,0.15,,,,,,,,,23,released,TCGA-IH-A3EA-01A-11D-A816-36
TCGA-SKCM,a5930bc2-d0e4-454f-b60d-5dd1148d4669,TCGA-IH-A3EA,f4308178-4987-42a1-b41b-1aa8cc7a78d9,TCGA-IH-A3EA-01A,ba6f8fa2-977a-479e-a7b7-e0530a292ea6,TCGA-IH-A3EA-01A-11,9f9b786d-1773-497c-bbb9-b6166c8e8bf9,TCGA-IH-A3EA-01A-11D,620f8719-e0fd-4f5d-a9a0-69f5938732d6,2.8,40.0,,,,0.07,,,,,,,,,23,released,TCGA-IH-A3EA-01A-11D-A20D-08
TCGA-SKCM,a5930bc2-d0e4-454f-b60d-5dd1148d4669,TCGA-IH-A3EA,f4308178-4987-42a1-b41b-1aa8cc7a78d9,TCGA-IH-A3EA-01A,ba6f8fa2-977a-479e-a7b7-e0530a292ea6,TCGA-IH-A3EA-01A-11,9f9b786d-1773-497c-bbb9-b6166c8e8bf9,TCGA-IH-A3EA-01A-11D,aafea788-004a-4f57-b28f-2e4c4fab0b65,1.01,6.7,,,,0.15,,,,,,,,,23,released,TCGA-IH-A3EA-01A-11D-A20B-01
